Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w2a	verschiedenen	verſchiedenen	verschieden	ADJA
s1	w2b	malen	mahlen	malen	VVINF
s1	w2c	erneuerten	erneuerten	erneuern	VVFIN
s1	w2d	/	/	/	$(
s1	w2e	auch	auch	auch	ADV
s1	w2f	in	in	in	APPR
s1	w30	des	des	d	ART
s1	w31	Heil.	Heil.	Heil.	NN
s1	w32	Röm.	Roͤm.	Röm.	NE
s1	w33	Reichs	Reichs	Reichs	NE
s1	w34	Policey-	Policey-	policey-	TRUNC
s1	w35	Ordnung	Ordnung	Ordnung	NN
s1	w36	und	und	und	KON
s1	w37	Recessen	Receſſen	Recessen	NE
s1	w38	gegründeten	gegruͤndeten	gegründet	ADJA
s1	w39	heilsamen	heilſamen	heilsam	ADJA
s1	w3a	Konstitutionen	Conſtitutionen	Konstitution	NN
s1	w3b	und	und	und	KON
s1	w3c	Edikten	Edicten	Edikt	NN
s1	w3d	von	von	von	APPR
s1	w3e	Unseren	Unſern	unsere	PPOSAT
s1	w3f	Magistraten	Magiſtraten	Magistrat	NN
s1	w40	/	/	/	$(
s1	w41	Gerichts-Herren	Gerichts-Herren	Gerichts-Herr	NN
s1	w42	und	und	und	KON
s1	w43	Beamten	Beambten	Beamte	NN
s1	w44	gehorsamst	gehorſamſt	gehorsam	ADJD
s1	w45	nachgelebt	nachgelebet	nachleben	VVPP
s1	w46	/	/	/	$(
s1	w47	und	und	und	KON
s1	w48	darüber	daruͤber	darüber	PAV
s1	w49	mit	mit	mit	APPR
s1	w4a	gehörigem	gehoͤrigem	gehörig	ADJA
s1	w4b	Ernst	Ernſt	Ernst	NN
s1	w4c	nachdrücklich	nachdruͤcklich	nachdrücklich	ADJD
s1	w4d	gehalten	gehalten	halten	VVPP
s1	w4e	sein	ſeyn	sein	VAINF
s1	w4f	.	.	.	$.
s2	w50	Wir	Wir	wir	PPER
s2	w51	dennoch	dennoch	dennoch	ADV
s2	w52	mit	mit	mit	APPR
s2	w53	Unserem	Unſerm	unsere	PPOSAT
s2	w54	höchsten	hoͤchſten	hoch	ADJA
s2	w55	Mißfallen	Mißfallen	Mißfallen	NN
s2	w56	vernehmen	vernehmen	vernehmen	VVINF
s2	w57	müssen	muͤſſen	müssen	VMFIN
s2	w58	/	/	/	$(
s2	w59	wie	wie	wie	KOKOM
s2	w5a	nichts	nichts	nichts	PIS
s2	w5b	destoweniger	deſtoweniger	destoweniger	ADV
s2	w5c	solche	ſolche	solch	PIAT
s2	w5d	gefährliche	gefaͤhrliche	gefährlich	ADJA
s2	w5e	Vagabunden	Vagabunden	Vagabund	NN
s2	w5f	sich	ſich	sich	PRF
s2	w60	eine	eine	eine	ART
s2	w61	zeither	zeithero	zeither	ADV
s2	w62	häufig	haͤuffig	häufig	ADJD
s2	w63	wieder	wieder	wieder	ADV
s2	w64	hervor	hervor	hervor	PTKVZ
s2	w65	tun	thun	tun	VVINF
s2	w66	/	/	/	$(
s2	w67	und	und	und	KON
s2	w68	aus	auß	aus	APPR
s2	w69	denen	denen	die	PRELS
s2	w6a	benachbarten	benachbarten	benachbart	ADJA
s2	w6b	in	in	in	APPR
s2	w6c	Unsere	Unſere	unsere	PPOSAT
s2	w6d	Lande	Lande	Land	NN
s2	w6e	einschleichen	einſchleichen	einschleichen	VVINF
s2	w6f	/	/	/	$(
s2	w70	solches	ſolches	solch	PIS
s2	w71	hin	hin	hin	ADV
s2	w72	und	und	und	KON
s2	w73	wieder	wieder	wieder	ADV
s2	w74	durchziehen	durchziehen	durchziehen	VVINF
s2	w75	und	und	und	KON
s2	w76	Unsere	Unſere	unsere	PPOSAT
s2	w77	Untertanen	Unterthanen	Untertan	NN
s2	w78	teils	theils	teils	ADV
s2	w79	mit	mit	mit	APPR
s2	w7a	allerhand	allerhand	allerhand	PIAT
s2	w7b	aberglaubeschen	aberglaubiſchen	aberglaubeeschen	ADJD
s2	w7c	Dingen	Dingen	Ding	NN
s2	w7d	verleiten	verleiten	verleiten	VVINF
s2	w7e	/	/	/	$(
s2	w7f	durch	durch	durch	APPR
s2	w80	Handlungen	Handlungen	Handlung	NN
s2	w81	betrügen	betriegen	betrügen	VVFIN
s2	w82	/	/	/	$(
s2	w83	zum	zum	zum	APPRART
s2	w84	Teil	theil	Teil	NN
s2	w85	auch	auch	auch	ADV
s2	w86	bestehlen	beſtehlen	bestehlen	VVINF
s2	w87	/	/	/	$(
s2	w88	auch	auch	auch	ADV
s2	w89	wohl	wol	wohl	ADV
s2	w8a	in	in	in	APPR
s2	w8b	Feuers-Gefahr	Feuers-Gefahr	Feuers-Gefahr	NN
s2	w8c	und	und	und	KON
s2	w8d	anderen	andern	ander	ADJA
s2	w8e	Schaden	Schaden	Schaden	NN
s2	w8f	setzen	ſetzen	setzen	VVINF
s2	w90	sollen	ſollen	sollen	VMFIN
s2	w91	.	.	.	$.
s3	w92	Wann	Wann	wann	PWAV
s3	w93	Wir	Wir	wir	PPER
s3	w94	aber	aber	aber	ADV
s3	w95	dergleichen	dergleichen	dergleichen	PIS
s3	w96	freventliche	freventliche	freventlich	ADJA
s3	w97	Ubertret-	Ubertret-	ubertret-	TRUNC
s3	w98	und	und	und	KON
s3	w99	Hintansetzung	Hindanſetzung	Hintansetzung	NN
s3	w9a	der	der	d	ART
s3	w9b	desfalls	deßfals	desfalls	ADV
s3	w9c	vielfältig	vielfaͤltig	vielfältig	ADJD
s3	w9d	publizierten	publicirten	publiziert	ADJA
s3	w9e	Gesetze	Geſetze	Gesetz	NN
s3	w9f	/	/	/	$(
s3	wa0	Konstitutionen	Conſtitutionen	Konstitution	NN
s3	wa1	und	und	und	KON
s3	wa2	Edicte	Edicte	Edicte	NE
s3	wa3	ferner	ferner	ferner	ADV
s3	wa4	nachzusehen	nachzuſehen	nachsehen	VVIZU
s3	wa5	und	und	und	KON
s3	wa6	selbige	ſelbige	selbig	ADJA
s3	wa7	ungestrafft	ungeſtrafft	ungestrafft	ADJD
s3	wa8	hingehen	hingehen	hingehen	VVINF
s3	wa9	zulassen	zulaſſen	zulassen	VVFIN
s3	waa	durchaus	durchauß	durchaus	ADV
s3	wab	nicht	nicht	nicht	PTKNEG
s3	wac	gemeint	gemeinet	meinen	VVPP
s3	wad	sein	ſeyn	sein	VAINF
s3	wae	;	;	;	$.
s3	waf	So	So	so	ADV
s3	wb0	wollen	wollen	wollen	VMFIN
s3	wb1	Wir	Wir	wir	PPER
s3	wb2	alle	alle	alle	PIAT
s3	wb3	oberwähnter	oberwehnter	oberwähnt	ADJA
s3	wb4	maßen	maſſen	messen	VVFIN
s3	wb5	ergangene	ergangene	ergehen	ADJA
s3	wb6	Constitutiones	Conſtitutiones	constitutiones	FM
s3	wb7	,	,	,	$,
s3	wb8	Mandata	Mandata	mandata	FM
s3	wb9	und	und	und	KON
s3	wba	Edicta	Edicta	edicta	FM
s3	wbb	hiermit	hiemit	hiermit	ADV
s3	wbc	nochmals	nochmahls	nochmals	ADV
s3	wbd	renovieret	renoviret	renovieren	VVFIN
s3	wbe	/	/	/	$(
s3	wbf	zugleich	zugleich	zugleich	ADV
s3	wc0	auch	auch	auch	ADV
s3	wc1	alle	alle	alle	PIAT
s3	wc2	und	und	und	KON
s3	wc3	jede	jede	jede	PIAT
s3	wc4	Unsere	Unſere	unsere	PPOSAT
s3	wc5	Untertanen	Unterthanen	Untertan	NN
s3	wc6	/	/	/	$(
s3	wc7	Angehörige	Angehoͤrige	Angehörige	NN
s3	wc8	und	und	und	KON
s3	wc9	Schutz-	Schutz-	schutz-	TRUNC
s3	wca	Verwandte	Verwandte	Verwandte	NN
s3	wcb	/	/	/	$(
s3	wcc	selbige	ſelbige	selbig	ADJA
s3	wcd	hinfür	hinfuͤhro	hinfür	ADV
s3	wce	besser	beſſer	gut	ADJD
s3	wcf	als	als	als	KOKOM
s3	wd0	bisher	bißher	bisher	ADV
s3	wd1	geschehen	geſchehen	geschehen	VVPP
s3	wd2	zu	zu	zu	PTKZU
s3	wd3	beobachten	beobachten	beobachten	VVINF
s3	wd4	/	/	/	$(
s3	wd5	gnädigst	gnaͤdigſt	gnädig	ADJD
s3	wd6	und	und	und	KON
s3	wd7	ernstlich	ernſtlich	ernstlich	ADJD
s3	wd8	hiermit	hiemit	hiermit	PAV
s3	wd9	ermahnet	ermahnet	ermahnen	VVFIN
s3	wda	haben	haben	haben	VAINF
s3	wdb	.	.	.	$.
s4	wdc	Wir	Wir	wir	PPER
s4	wdd	setzen	ſetzen	setzen	VVFIN
s4	wde	/	/	/	$(
s4	wdf	ordnen	ordnen	ordnen	VVINF
s4	we0	und	und	und	KON
s4	we1	befehlen	befehlen	befehlen	VVFIN
s4	we2	auch	auch	auch	ADV
s4	we3	aus	auß	aus	APPR
s4	we4	hoher	hoher	hoch	ADJA
s4	we5	Landes-Fürstl.	Landes-Fuͤrſtl.	Landes-Fürstl.	NN
s4	we6	Macht	Macht	Macht	NN
s4	we7	und	und	und	KON
s4	we8	Gewalt	Gewalt	Gewalt	NN
s4	we9	/	/	/	$(
s4	wea	Kraft	Krafft	Kraft	NN
s4	web	dieses	dieſes	diese	PDAT
s4	wec	abermals	abermahl	abermals	ADV
s4	wed	ernstlich	ernſtlich	ernstlich	ADJD
s4	wee	/	/	/	$(
s4	wef	daß	daß	daß	KOUS
s4	wf0	von	von	von	APPR
s4	wf1	nun	nun	nun	ADV
s4	wf2	an	an	an	APZR
s4	wf3	in	in	in	APPR
s4	wf4	Unseren	Unſern	unsere	PPOSAT
s4	wf5	Fürstentum	Fuͤrſtenthum	Fürstentum	NN
s4	wf6	und	und	und	KON
s4	wf7	Landen	Landen	Land	NN
s4	wf8	dergleichen	dergleichen	dergleichen	PIS
s4	wf9	herum	herum	herum	PTKVZ
s4	wfa	vagierende	vagirende	vagierend	ADJA
s4	wfb	so	ſo	so	ADV
s4	wfc	genante	genandte	genant	ADJA
s4	wfd	Zigeuner	Zigeuner	Zigeuner	NN
s4	wfe	nirgends	nirgends	nirgends	ADV
s4	wff	eingelassen	eingelaſſen	einlassen	VVPP
s4	w100	/	/	/	$(
s4	w101	passiert	pasſiret	passieren	VVPP
s4	w102	oder	oder	oder	KON
s4	w103	geduldet	geduldet	gedulden	VVPP
s4	w104	/	/	/	$(
s4	w105	noch	noch	noch	ADV
s4	w106	denselben	denenſelben	denselben	PDAT
s4	w107	einiger	einiger	einige	PIAT
s4	w108	Durchzug	Durchzug	Durchzug	NN
s4	w109	/	/	/	$(
s4	w10a	Unterschleif	Unterſchleiff	Unterschleif	NN
s4	w10b	oder	oder	oder	KON
s4	w10c	Nachtlager	Nachtlager	Nachtlager	NN
s4	w10d	verstattet	verſtattet	verstatten	VVPP
s4	w10e	/	/	/	$(
s4	w10f	am	am	am	APPRART
s4	w110	wenigsten	wenigſten	wenigste	PIS
s4	w111	aber	aber	aber	ADV
s4	w112	zu	zu	zu	APPR
s4	w113	ihrem	ihrem	ihr	PPOSAT
s4	w114	Unterhalt	Unterhalt	Unterhalt	NN
s4	w115	nichts	nichts	nichts	PIS
s4	w116	an	an	an	APPR
s4	w117	Essen	Eſſen	Essen	NE
s4	w118	und	und	und	KON
s4	w119	Trinken	Trincken	Trinken	NN
s4	w11a	oder	oder	oder	KON
s4	w11b	Futter	Futter	Futter	NN
s4	w11c	vor	vor	vor	APPR
s4	w11d	das	das	d	ART
s4	w11e	Vieh	Vieh	Vieh	NN
s4	w11f	/	/	/	$(
s4	w120	weder	weder	weder	KON
s4	w121	innerhalb	innerhalb	innerhalb	APPR
s4	w122	Landes	Landes	Land	NN
s4	w123	noch	noch	noch	ADV
s4	w124	an	an	an	APPR
s4	w125	Grenzen	Grentzen	Grenze	NN
s4	w126	verabfolget	verabfolget	verabfolgen	VVFIN
s4	w127	/	/	/	$(
s4	w128	sondern	ſondern	sondern	KON
s4	w129	/	/	/	$(
s4	w12a	wann	wann	wann	PWAV
s4	w12b	dergleichen	dergleichen	dergleichen	PIS
s4	w12c	Vagabunden	Vagabunden	Vagabund	NN
s4	w12d	und	und	und	KON
s4	w12e	gefährliche	gefaͤhrliche	gefährlich	ADJA
s4	w12f	Leute	Leute	Leute	NN
s4	w130	entweder	entweder	entweder	KON
s4	w131	einzeln	eintzelen	einzeln	ADJD
s4	w132	oder	oder	oder	KON
s4	w133	in	in	in	APPR
s4	w134	einiger	einiger	einige	PIAT
s4	w135	Anzahl	Anzahl	Anzahl	NN
s4	w136	sich	ſich	sich	PRF
s4	w137	hervor	hervor	hervor	PTKVZ
s4	w138	tun	thun	tun	VVINF
s4	w139	und	und	und	KON
s4	w13a	sehen	ſehen	sehen	VVINF
s4	w13b	lassen	laſſen	lassen	VVINF
s4	w13c	sollten	ſolten	sollen	VMFIN
s4	w13d	/	/	/	$(
s4	w13e	selbige	ſelbige	selbig	ADJA
s4	w13f	mit	mit	mit	APPR
s4	w140	Gewalt	Gewalt	Gewalt	NN
s4	w141	/	/	/	$(
s4	w142	und	und	und	KON
s4	w143	durch	durch	durch	APPR
s4	w144	Rührung	ruͤhrung	Rührung	NN
s4	w145	der	der	d	ART
s4	w146	Glocken	Glocken	Glocke	NN
s4	w147	oder	oder	oder	KON
s4	w148	sonst	ſonſt	sonst	ADV
s4	w149	veranstaltende	veranſtaltende	veranstaltend	ADJA
s4	w14a	Zusammenberufung	Zuſammen-beruffung	Zusammenberufung	NN
s4	w14b	derer	derer	die	PDS
s4	w14c	Gemeinen	Gemeinen	Gemeine	NN
s4	w14d	und	und	und	KON
s4	w14e	Nachbarn	Nachbarn	Nachbar	NN
s4	w14f	(	(	(	$(
s4	w150	als	als	als	KOKOM
s4	w151	worin	worin	worin	PWAV
s4	w152	ein	ein	eine	ART
s4	w153	Amt	Ampt	Amt	NN
s4	w154	und	und	und	KON
s4	w155	Gericht	Gericht	Gericht	NN
s4	w156	dem	dem	d	ART
s4	w157	anderen	andern	ander	ADJA
s4	w158	unverzüglich	unverzuͤglich	unverzüglich	ADJD
s4	w159	bei	bey	bei	APPR
s4	w15a	Vermeidung	Vermeydung	Vermeidung	NN
s4	w15b	Unserer	Unſerer	unsere	PPOSAT
s4	w15c	höchsten	hoͤchſten	hoch	ADJA
s4	w15d	Ungnade	Ungnade	Ungnade	NN
s4	w15e	und	und	und	KON
s4	w15f	schwerer	ſchwerer	schwer	ADJA
s4	w160	Bestrafung	Beſtraffung	Bestrafung	NN
s4	w161	die	die	d	ART
s4	w162	hilfliche	huͤlffliche	hilfelich	ADJA
s4	w163	Hand	Hand	Hand	NN
s4	w164	zubieten	zubieten	zubieten	VVINF
s4	w165	schuldig	ſchuldig	schuldig	ADJD
s4	w166	sein	ſeyn	sein	VAINF
s4	w167	soll	ſoll	sollen	VMFIN
s4	w168	)	)	)	$(
s4	w169	abzuhalten	abzuhalten	abhalten	VVIZU
s4	w16a	/	/	/	$(
s4	w16b	zurück	zuruͤck	zurück	ADV
s4	w16c	getrieben	getrieben	treiben	VVPP
s4	w16d	und	und	und	KON
s4	w16e	aus	auß	aus	APPR
s4	w16f	dem	dem	d	ART
s4	w170	Lande	Lande	Land	NN
s4	w171	verfolget	verfolget	verfolgen	VVFIN
s4	w172	auch	auch	auch	ADV
s4	w173	ferner	ferner	ferner	ADV
s4	w174	bei	bey	bei	APPR
s4	w175	verspürender	verſpuͤrender	verspürend	ADJA
s4	w176	Widersetzlichkeit	Wiederſetzlichkeit	Widersetzlichkeit	NN
s4	w177	zur	zur	zur	APPRART
s4	w178	gefänglichen	gefaͤnglichen	gefänglich	ADJA
s4	w179	Haftet	Hafft	haften	VVFIN
s4	w17a	gebracht	gebracht	bringen	VVPP
s4	w17b	/	/	/	$(
s4	w17c	und	und	und	KON
s4	w17d	zu	zu	zu	APPR
s4	w17e	gehöriger	gehoͤriger	gehörig	ADJA
s4	w17f	Abstrafung	Abſtraffung	Abstrafung	NN
s4	w180	anher	anhero	anher	ADV
s4	w181	verwahrlich	verwahrlich	verwahrlich	ADJD
s4	w182	geliefert	geliefert	liefern	VVPP
s4	w183	werden	werden	werden	VAINF
s4	w184	sollen	ſollen	sollen	VMFIN
s4	w185	/	/	/	$(
s4	w186	Gestalt	geſtalt	Gestalt	NN
s4	w187	Wir	Wir	wir	PPER
s4	w188	dann	dann	dann	ADV
s4	w189	/	/	/	$(
s4	w18a	daferne	daferne	Daferne	NE
s4	w18b	ein	ein	ein	PTKVZ
s4	w18c	oder	oder	oder	KON
s4	w18d	der	der	d	ART
s4	w18e	ander	ander	ander	ADJD
s4	w18f	Unserer	Unſerer	unsere	PPOSAT
s4	w190	Gerichts-Herren	Gerichts-Herren	Gerichts-Herr	NN
s4	w191	und	und	und	KON
s4	w192	Beamte	Beambte	Beamte	NN
s4	w193	auf	auff	auf	APPR
s4	w194	erhaltende	erhaltende	erhaltend	ADJA
s4	w195	Nachricht	Nachricht	Nachricht	NN
s4	w196	darinnen	darinnen	darinnen	ADV
s4	w197	säumig	ſaͤumig	säumig	ADJD
s4	w198	oder	oder	oder	KON
s4	w199	nachlässig	nachlaͤsſig	nachlässig	ADJD
s4	w19a	sich	ſich	sich	PRF
s4	w19b	erzeigen	erzeigen	erzeigen	VVINF
s4	w19c	sollte	ſolte	sollen	VMFIN
s4	w19d	/	/	/	$(
s4	w19e	derselbe	derſelbe	dieselbe	PDAT
s4	w19f	jedesmal	jedesmahl	jedesmal	ADV
s4	w1a0	in	in	in	APPR
s4	w1a1	50.	50.	50.	ADJA
s4	w1a2	Thlr.	Thlr.	Thlr.	NN
s4	w1a3	ingleichen	ingleichen	ingleichen	ADV
s4	w1a4	Unsere	Unſere	unsere	PPOSAT
s4	w1a5	übrige	uͤbrige	übrig	ADJA
s4	w1a6	Untertanen	Unterthanen	Untertan	NN
s4	w1a7	und	und	und	KON
s4	w1a8	Angehörige	Angehoͤrige	Angehörige	NN
s4	w1a9	/	/	/	$(
s4	w1aa	wann	wann	wann	PWAV
s4	w1ab	einer	einer	eine	PIS
s4	w1ac	dieser	dieſer	diese	PDS
s4	w1ad	herum	herum	herum	PTKVZ
s4	w1ae	vagierenden	vagirenden	vagierend	ADJA
s4	w1af	Zigeuner	Zigeuner	Zigeuner	NN
s4	w1b0	Ankunft	Ankunfft	Ankunft	NN
s4	w1b1	seiner	ſeiner	seine	PPOSAT
s4	w1b2	Obrigkeit	Obrigkeit	Obrigkeit	NN
s4	w1b3	so	ſo	so	ADV
s4	w1b4	fort	fort	fort	PTKVZ
s4	w1b5	anzuzeigen	anzuzeigen	anzeigen	VVIZU
s4	w1b6	unterlassen	unterlaſſen	unterlassen	VVINF
s4	w1b7	würde	wuͤrde	werden	VAFIN
s4	w1b8	/	/	/	$(
s4	w1b9	jeglichen	jeglichen	jedwede	PIAT
s4	w1ba	ohne	ohne	ohne	APPR
s4	w1bb	Ansehung	anſehung	Ansehung	NN
s4	w1bc	der	der	d	ART
s4	w1bd	Person	Perſon	Person	NN
s4	w1be	in	in	in	APPR
s4	w1bf	10.	10.	10.	ADJA
s4	w1c0	Rthlr	Rthlr	Rthlr	NN
s4	w1c1	.	.	.	$.
s5	w1c2	Strafe	Straffe	Strafe	NN
s5	w1c3	hiermit	hiemit	hiermit	PAV
s5	w1c4	kondemnieret	condemniret	kondemnieren	VVFIN
s5	w1c5	/	/	/	$(
s5	w1c6	auch	auch	auch	ADV
s5	w1c7	wieder	wieder	wieder	ADV
s5	w1c8	den	den	d	ART
s5	w1c9	beharrlichen	beharꝛlichen	beharrlich	ADJA
s5	w1ca	Ungehorsam	Ungehorſam	Ungehorsam	NN
s5	w1cb	Uns	Uns	wir	PPER
s5	w1cc	fernere	fernere	fern	ADJA
s5	w1cd	schärfere	ſchaͤrffere	scharf	ADJA
s5	w1ce	Ahnung	Ahndung	Ahnung	NN
s5	w1cf	vorbehalten	vorbehalten	vorbehalten	VVPP
s5	w1d0	/	/	/	$(
s5	w1d1	dahingegen	dahingegen	dahingegen	PAV
s5	w1d2	aber	aber	aber	ADV
s5	w1d3	jedermänniglich	jedermaͤnniglich	jedermänniglich	ADJD
s5	w1d4	/	/	/	$(
s5	w1d5	so	ſo	so	ADV
s5	w1d6	Einheimischen	Einheimiſchen	Einheimische	NN
s5	w1d7	als	als	als	KOKOM
s5	w1d8	in	in	in	APPR
s5	w1d9	und	und	und	KON
s5	w1da	durch	durch	durch	APPR
s5	w1db	Unsere	Unſere	unsere	PPOSAT
s5	w1dc	Lande	Lande	Land	NN
s5	w1dd	reisenden	reiſenden	reisend	ADJA
s5	w1de	fremden	Frembden	fremd	ADJA
s5	w1df	/	/	/	$(
s5	w1e0	(	(	(	$(
s5	w1e1	jedoch	jedoch	jedoch	ADV
s5	w1e2	daß	daß	daß	KOUS
s5	w1e3	allemal	allemahl	allemal	ADV
s5	w1e4	jeglichen	jeglichen	jedwede	PIAT
s5	w1e5	Orts	Orts	Orts	ADJA
s5	w1e6	Obrigkeit	Obrigkeit	Obrigkeit	NN
s5	w1e7	hernach	hernach	hernach	ADV
s5	w1e8	gehörige	gehoͤrige	gehörig	ADJA
s5	w1e9	Anzeige	Anzeige	Anzeige	NN
s5	w1ea	davon	davon	davon	PAV
s5	w1eb	geschehe	geſchehe	geschehen	VVFIN
s5	w1ec	)	)	)	$(
s5	w1ed	hiermit	hiemit	hiermit	PAV
s5	w1ee	erlaubet	erlaubet	erlauben	VVFIN
s5	w1ef	und	und	und	KON
s5	w1f0	verstattet	verſtattet	verstatten	VVPP
s5	w1f1	haben	haben	haben	VAINF
s5	w1f2	wollen	wollen	wollen	VMFIN
s5	w1f3	/	/	/	$(
s5	w1f4	mehr	mehr	mehr	PIAT
s5	w1f5	ermeldete	ermeldete	ermeldet	ADJA
s5	w1f6	Zigeuner	Zigeuner	Zigeuner	NN
s5	w1f7	/	/	/	$(
s5	w1f8	wo	wo	wo	PWAV
s5	w1f9	selbige	ſelbige	selbig	ADJD
s5	w1fa	betreten	betreten	betreten	VVPP
s5	w1fb	werden	werden	werden	VAINF
s5	w1fc	möchten	moͤchten	mögen	VMFIN
s5	w1fd	/	/	/	$(
s5	w1fe	wie	wie	wie	PWAV
s5	w1ff	sie	ſie	sie	PPER
s5	w200	bereits	bereits	bereits	ADV
s5	w201	in	in	in	APPR
s5	w202	obbesagten	obbeſagten	obbesagt	ADJA
s5	w203	des	des	d	ART
s5	w204	Heil.	Heil.	Heil.	NN
s5	w205	Röm.	Roͤm.	Röm.	ADJA
s5	w206	Reichs-Konstitutionen	Reichs-Conſtitutionen	Reichs-Konstitution	NN
s5	w207	vor	vor	vor	APPR
s5	w208	Vogelfrei	Vogelfrey	vogelfrei	ADJD
s5	w209	erkläret	erklaͤret	erklären	VVFIN
s5	w20a	/	/	/	$(
s5	w20b	frei	frey	frei	ADJD
s5	w20c	und	und	und	KON
s5	w20d	ungehindert	ungehindert	ungehindert	ADJD
s5	w20e	anzugreifen	anzugreiffen	angreifen	VVIZU
s5	w20f	/	/	/	$(
s5	w210	ihnen	ihnen	sie	PPER
s5	w211	ihre	ihre	ihr	PPOSAT
s5	w212	bei	bey	bei	APPR
s5	w213	sich	ſich	sich	PRF
s5	w214	habende	habende	habend	ADJA
s5	w215	Pferde	Pferde	Pferd	NN
s5	w216	/	/	/	$(
s5	w217	Wagen	Wagen	Wagen	NN
s5	w218	/	/	/	$(
s5	w219	Gewehr	Gewehr	Gewehr	NN
s5	w21a	und	und	und	KON
s5	w21b	andere	andere	ander	ADJA
s5	w21c	Sachen	Sachen	Sache	NN
s5	w21d	mit	mit	mit	APPR
s5	w21e	gewappneter	gewapneter	gewappnet	ADJA
s5	w21f	Hand	Hand	Hand	NN
s5	w220	abzunehmen	abzunehmen	abnehmen	VVIZU
s5	w221	und	und	und	KON
s5	w222	für	fuͤr	für	APPR
s5	w223	sich	ſich	sich	PRF
s5	w224	zu	zu	zu	PTKZU
s5	w225	behalten	behalten	behalten	VVINF
s5	w226	/	/	/	$(
s5	w227	immassen	immaſſen	Immassen	NE
s5	w228	dann	dann	dann	ADV
s5	w229	wann	wann	wann	PWAV
s5	w22a	deren	deren	die	PDS
s5	w22b	ein	ein	ein	PTKVZ
s5	w22c	oder	oder	oder	KON
s5	w22d	anderer	anderer	andere	PIS
s5	w22e	sich	ſich	sich	PRF
s5	w22f	zur	zur	zur	APPRART
s5	w230	Wehr	Wehr	Wehr	NN
s5	w231	setzen	ſetzen	setzen	VVINF
s5	w232	und	und	und	KON
s5	w233	darüber	daruͤber	darüber	PAV
s5	w234	verletzet	verletzet	verletzen	VVFIN
s5	w235	oder	oder	oder	KON
s5	w236	gar	gar	gar	ADV
s5	w237	entleibet	entleibet	entleiben	VVFIN
s5	w238	würde	wuͤrde	werden	VAFIN
s5	w239	/	/	/	$(
s5	w23a	niemand	niemand	niemand	PIS
s5	w23b	daran	daran	daran	PAV
s5	w23c	mißhandelt	mißhandelt	misshandeln	VVPP
s5	w23d	oder	oder	oder	KON
s5	w23e	gefrevelt	gefrevelt	freveln	VVPP
s5	w23f	haben	haben	haben	VAFIN
s5	w240	noch	noch	noch	ADV
